price,quantity,type,timestamp
100377000,0.0012,0,2024-04-09 18:31:17.867
100370000,0.0014,0,2024-04-09 18:31:17.867
100360000,0.0001,0,2024-04-09 18:31:17.867
100350000,0.0002,0,2024-04-09 18:31:17.867
100337000,0.3072,0,2024-04-09 18:31:17.867
100380000,0.0071,1,2024-04-09 18:31:17.867
100390000,0.5354,1,2024-04-09 18:31:17.867
100425000,0.0496,1,2024-04-09 18:31:17.867
100426000,0.0002,1,2024-04-09 18:31:17.867
100447000,0.0324,1,2024-04-09 18:31:17.867
100377000,0.0002,0,2024-04-09 18:31:18.897
100370000,0.0014,0,2024-04-09 18:31:18.897
100360000,0.0001,0,2024-04-09 18:31:18.897
100350000,0.0002,0,2024-04-09 18:31:18.897
100337000,0.3072,0,2024-04-09 18:31:18.897
100380000,0.0071,1,2024-04-09 18:31:18.897
100390000,0.5354,1,2024-04-09 18:31:18.897
100425000,0.0496,1,2024-04-09 18:31:18.897
100426000,0.0002,1,2024-04-09 18:31:18.897
100447000,0.0324,1,2024-04-09 18:31:18.897
100377000,0.0002,0,2024-04-09 18:31:19.943
100370000,0.0014,0,2024-04-09 18:31:19.943
100360000,0.0001,0,2024-04-09 18:31:19.943
100350000,0.0002,0,2024-04-09 18:31:19.943
100337000,0.3072,0,2024-04-09 18:31:19.943
100380000,0.0071,1,2024-04-09 18:31:19.943
100390000,0.5354,1,2024-04-09 18:31:19.943
100425000,0.0496,1,2024-04-09 18:31:19.943
100426000,0.0002,1,2024-04-09 18:31:19.943
100447000,0.0324,1,2024-04-09 18:31:19.943
100377000,0.0002,0,2024-04-09 18:31:20.982
100370000,0.0014,0,2024-04-09 18:31:20.982
100360000,0.0001,0,2024-04-09 18:31:20.982
100350000,0.0002,0,2024-04-09 18:31:20.982
100337000,0.3072,0,2024-04-09 18:31:20.982
100380000,0.0071,1,2024-04-09 18:31:20.982
100390000,0.5354,1,2024-04-09 18:31:20.982
100425000,0.0496,1,2024-04-09 18:31:20.982
100426000,0.0002,1,2024-04-09 18:31:20.982
100447000,0.0324,1,2024-04-09 18:31:20.982
100377000,0.0002,0,2024-04-09 18:31:22.027
100370000,0.0014,0,2024-04-09 18:31:22.027
100360000,0.0001,0,2024-04-09 18:31:22.027
100350000,0.0002,0,2024-04-09 18:31:22.027
100337000,0.3072,0,2024-04-09 18:31:22.027
100380000,0.0071,1,2024-04-09 18:31:22.027
100390000,0.5354,1,2024-04-09 18:31:22.027
100425000,0.0496,1,2024-04-09 18:31:22.027
100426000,0.0002,1,2024-04-09 18:31:22.027
100447000,0.0324,1,2024-04-09 18:31:22.027
100371000,0.0094,0,2024-04-09 18:31:23.061
100370000,0.0014,0,2024-04-09 18:31:23.061
100360000,0.0001,0,2024-04-09 18:31:23.061
100350000,0.0002,0,2024-04-09 18:31:23.061
100337000,0.3072,0,2024-04-09 18:31:23.061
100376000,0.0498,1,2024-04-09 18:31:23.061
100380000,0.0071,1,2024-04-09 18:31:23.061
100390000,0.5354,1,2024-04-09 18:31:23.061
100425000,0.0496,1,2024-04-09 18:31:23.061
100426000,0.0002,1,2024-04-09 18:31:23.061
100370000,0.0004,0,2024-04-09 18:31:24.094
100360000,0.0001,0,2024-04-09 18:31:24.094
100350000,0.0002,0,2024-04-09 18:31:24.094
100337000,0.3072,0,2024-04-09 18:31:24.094
100300000,2.4571,0,2024-04-09 18:31:24.094
100376000,0.0498,1,2024-04-09 18:31:24.094
100380000,0.0071,1,2024-04-09 18:31:24.094
100390000,0.5354,1,2024-04-09 18:31:24.094
100425000,0.0496,1,2024-04-09 18:31:24.094
100426000,0.0002,1,2024-04-09 18:31:24.094
100373000,0.0099,0,2024-04-09 18:31:25.137
100337000,0.2989,0,2024-04-09 18:31:25.137
100300000,2.4571,0,2024-04-09 18:31:25.137
100297000,0.307,0,2024-04-09 18:31:25.137
100282000,0.003,0,2024-04-09 18:31:25.137
100375000,0.001,1,2024-04-09 18:31:25.137
100376000,0.0498,1,2024-04-09 18:31:25.137
100377000,0.0996,1,2024-04-09 18:31:25.137
100380000,0.0071,1,2024-04-09 18:31:25.137
100390000,0.5354,1,2024-04-09 18:31:25.137
100373000,0.0061,0,2024-04-09 18:31:26.198
100337000,0.2989,0,2024-04-09 18:31:26.198
100300000,2.4571,0,2024-04-09 18:31:26.198
100297000,0.307,0,2024-04-09 18:31:26.198
100282000,0.003,0,2024-04-09 18:31:26.198
100375000,0.001,1,2024-04-09 18:31:26.198
100376000,0.0498,1,2024-04-09 18:31:26.198
100377000,0.0996,1,2024-04-09 18:31:26.198
100380000,0.0071,1,2024-04-09 18:31:26.198
100390000,0.5354,1,2024-04-09 18:31:26.198
100373000,0.0061,0,2024-04-09 18:31:27.226
100337000,0.2989,0,2024-04-09 18:31:27.226
100300000,2.4571,0,2024-04-09 18:31:27.226
100297000,0.307,0,2024-04-09 18:31:27.226
100282000,0.003,0,2024-04-09 18:31:27.226
100375000,0.001,1,2024-04-09 18:31:27.226
100376000,0.0498,1,2024-04-09 18:31:27.226
100377000,0.0996,1,2024-04-09 18:31:27.226
