price,quantity,type,timestamp
98769000,0.005,0,2024-04-15 19:05:51
98768000,0.3317,0,2024-04-15 19:05:51
98765000,0.4051,0,2024-04-15 19:05:51
98757000,0.0002,0,2024-04-15 19:05:51
98746000,0.01,0,2024-04-15 19:05:51
98778000,0.0893,1,2024-04-15 19:05:51
98780000,0.0232,1,2024-04-15 19:05:51
98781000,0.0002,1,2024-04-15 19:05:51
98783000,0.0677,1,2024-04-15 19:05:51
98790000,0.0239,1,2024-04-15 19:05:51
98768000,0.3267,0,2024-04-15 19:05:56
98765000,0.4051,0,2024-04-15 19:05:56
98746000,0.01,0,2024-04-15 19:05:56
98740000,0.4052,0,2024-04-15 19:05:56
98724000,0.357,0,2024-04-15 19:05:56
98778000,0.0895,1,2024-04-15 19:05:56
98780000,0.0232,1,2024-04-15 19:05:56
98781000,0.0002,1,2024-04-15 19:05:56
98783000,0.0422,1,2024-04-15 19:05:56
98796000,0.0103,1,2024-04-15 19:05:56
98768000,0.326,0,2024-04-15 19:06:01
98765000,0.4051,0,2024-04-15 19:06:01
98750000,0.357,0,2024-04-15 19:06:01
98746000,0.01,0,2024-04-15 19:06:01
98740000,0.4052,0,2024-04-15 19:06:01
98778000,0.0894,1,2024-04-15 19:06:01
98780000,0.0232,1,2024-04-15 19:06:01
98781000,0.0002,1,2024-04-15 19:06:01
98783000,0.0422,1,2024-04-15 19:06:01
98789000,0.0255,1,2024-04-15 19:06:01
98768000,0.326,0,2024-04-15 19:06:06
98765000,0.4051,0,2024-04-15 19:06:06
98750000,0.357,0,2024-04-15 19:06:06
98746000,0.01,0,2024-04-15 19:06:06
98740000,0.4052,0,2024-04-15 19:06:06
98778000,0.0692,1,2024-04-15 19:06:06
98780000,0.0232,1,2024-04-15 19:06:06
98781000,0.0002,1,2024-04-15 19:06:06
98783000,0.0422,1,2024-04-15 19:06:06
98792000,0.0255,1,2024-04-15 19:06:06
98768000,0.2904,0,2024-04-15 19:06:11
98765000,0.4051,0,2024-04-15 19:06:11
98757000,0.0002,0,2024-04-15 19:06:11
98750000,0.357,0,2024-04-15 19:06:11
98746000,0.01,0,2024-04-15 19:06:11
98778000,0.0585,1,2024-04-15 19:06:11
98780000,0.0232,1,2024-04-15 19:06:11
98781000,0.0002,1,2024-04-15 19:06:11
98783000,0.0422,1,2024-04-15 19:06:11
98796000,0.0103,1,2024-04-15 19:06:11
98768000,0.1421,0,2024-04-15 19:06:16
98765000,0.4051,0,2024-04-15 19:06:16
98752000,0.0002,0,2024-04-15 19:06:16
98751000,0.0225,0,2024-04-15 19:06:16
98750000,0.357,0,2024-04-15 19:06:16
98778000,0.0585,1,2024-04-15 19:06:16
